date,score,base_score,boost,band,articles_scanned
2026-03-15,6.48,6.48,0.0,נמוך,2
2026-03-15,7.92,7.92,0.0,נמוך,2
2026-03-15,0.0,0.0,0.0,נמוך,15
2026-03-15,41.26,37.26,4.0,נמוך,172
2026-03-15,87.0,65.0,22.0,גבוה מאוד,172
2026-03-15,41.26,37.26,4.0,נמוך,172
2026-03-15,7.92,7.92,0.0,נמוך,2
2026-03-15,100.0,65.0,22.0,גבוה מאוד,172
2026-03-15,59.26,37.26,4.0,בינוני,172
2026-03-15,80.5,58.5,4.0,גבוה מאוד,242
2026-03-15,25.56,7.56,0.0,נמוך,2
2026-03-15,78.06,56.06,4.0,גבוה,252
2026-03-15,100.0,65.0,22.0,גבוה מאוד,252
2026-03-15,81.12,59.12,4.0,גבוה מאוד,252
2026-03-15,100.0,65.0,22.0,גבוה מאוד,252
2026-03-15,25.56,7.56,0.0,נמוך,2
2026-03-15,25.56,7.56,0.0,נמוך,2
2026-03-15,25.56,7.56,0.0,נמוך,2
2026-03-15,25.56,7.56,0.0,נמוך,2
2026-03-15,25.56,7.56,0.0,נמוך,2
2026-03-15,78.06,56.06,4.0,גבוה,252
2026-03-15,77.98,58.98,4.0,גבוה,252
2026-03-15,74.98,58.98,4.0,גבוה,252
2026-03-15,69.31,47.31,4.0,גבוה,252
2026-03-15,69.31,47.31,4.0,גבוה,252
2026-03-17,87.98,61.98,8.0,גבוה מאוד,376
